https://twitter.com/urbanx_f/status/1165279293339033601,,retweet,likes,comments,,,,retweet,likes,comments
@ChrisNelsCAtoMA,This is a dangerously uninformed tweet. People who don’t vaccinate their kids should be criminally liable.,0,0,0,,,,,,
@Ivotian,Hey. You there. Prove it.,0,0,0,,,,,,
@playing4time,It is certainly not a scientific fact.,0,0,0,,,,,,
@iFarmNhawaii,"Wow I’ve been thoroughly vaccinated and shockingly, I don’t have autism. Not to mention, I have EMF coming out my ass. Other than that I’m fine.",0,0,0,,,,,,
@reyesmandr,You are...,0,0,0,,,,,,
@rpratt039,This is what happens when you can only choose 1 of the ability to write and the ability to reason.,0,0,0,,,,,,
@ShashMcG,"You, Sir, are a buffoon. See #1",0,0,0,,,,,,
@kwdayboise,One fraudulent paper vs. hundreds of real papers saying the opposite and you pick the fraudulent one. That's not how science works. If you want to worry about something try childhood encephalitis from diseases in unvaccinated children.,0,3,0,,,,,,
@ccraw1984,I think you confused fact with lies,0,4,0,,,,,,
@CwTrainx,"I would like to see a study on lying. On second thought, no I don't. Just shut up and stop lying.",0,3,0,,,,,,
@NickSchwanck,What nonsense.,0,4,0,,,,,,
@MuppetHunterZA,Apparently the 30%'er brigade is alive and well outside south africa,0,3,0,,,,,,
@alphabeattweet,"Totally false. The results of the ""study"" which claimed that were fradulent, Andrew Wakefield, the author, was struck off the medical register, and many large studies have shown no link. Stop spreading this rubbish, it is harmful",0,3,0,,,,,,
@SFF180,"Your first sentence is a lie on the order of ""the earth is flat.""",0,4,0,,,,,,
@jimnarlene,Where's your proof?,0,4,0,,,,,,
@lhommedev,"Lack of reading and comprehension skills cause ignorance, which is far more dangerous than any vaccine.",0,4,0,,,,,,
@WyoDem,"Sorry bumb bell, it’s not. Can’t stand dump people you are blocked.",0,5,0,,,,,,
@OustideVoice,"perpetuating this myth reminds me of how Mormon founder Joseph Smith admitted lying about his talking golden lizard or whatever it was, and yet the Mormons perpetuate and continue the story... dude. Got Science?",2,12,3,,,,,,
@Daphne_488,people have too much free time. real children are suffering from real harm while self-centered anti-vaxxers are busy inventing facts to spice up their lives 😐🤦🏾‍♀️,1,4,2,,,,,,
@OustideVoice,there you have it.,0,2,0,,,,,,
@PatriciaJowers1,Bull shit. There are NO legitimate studies that show vaccines as a causative factor.,0,3,0,,,,,,
@Shoogie5,"Herd Immunity folks. I had my, DPT booster, MMR and Hep A &B series at 65 to protect myself and others. I consider it my civic patriotic duty.",0,4,0,,,,,,
@lilySfur,"Vaccines do NOT cause Autism. And if we discovered the opposite was true, vaccines cause life! They cause people to not get sick, not die. If we have no way of predicting, and a healthy child might live with autism... i will take it! I ❤️ many healthy people with autism!",0,3,0,,,,,,
@designs_donn,How's the Saran Wrap Room working out for U ...............,0,4,0,,,,,,
@rdhnl,Is it just me or is all the #45BONESPURS sycophants out this Sunday evening?,0,3,0,,,,,,
@tesawillars,Where’s the proof that vaccines cause autism?,0,1,1,,,,,,
@Brokenknee1Jim,Without a doubt Gregory is a freaking nut case!,0,0,0,,,,,,
@ebcola,"If you don’t know the difference between ;affect’ and ‘effect’, why in heavens name would anyone believe your insanity on vaccines?",1,4,1,,,,,,
@ResistSays,"But he's a ""microscopist."" Surely that means he's super duper smart about everything? He even has a fancy microscope in his pic. He can probably see the autism in vaccines. 🤣",0,3,0,,,,,,
@sweet_emmee,You are,0,3,0,,,,,,
@pchr5205,You forgot to add fool to your twitter handle.,0,3,0,,,,,,
@winman953,"At best, it is wildly irresponsible to spread this incorrect information. Either that, or willfully ignorant. Vaccines DO NOT cause autism. Unfortunately, due to one ignorant, and falsified, study, many people choose not to vaccinate. This is why measles is making a comeback.",0,5,1,,,,,,
@PostTheOnion,"just suppose for a minute that they're right - imagine for a moment that vaccines somehow 'cause' autism. they're saying ""I'd rather my child die of measles or be crippled (IF he lives) by polio than be on the spectrum."" THAT is what they're saying w/ this. that's fucked up.",0,2,0,,,,,,
@ZuZeelander,"If vaccines cause Autism, we would ALL be Autistic?",0,2,1,,,,,,
@snody101,Lmao so says the guy who says he is a microscopic disease analyst as if that is anything other than he bought a microscope on Amazon,0,1,1,,,,,,
@ZuZeelander,I bet he went to Trump University. 🤣😉,0,0,0,,,,,,
@bailey_davison,Nah you’re way off son,0,4,0,,,,,,
@jsilv579,"Lies, and damn lies. You should really know better.",0,13,1,,,,,,
@specialkitty2me,Not a matter of knowing better. Ppl like this just love spreading misinformation. For some reason the suffering and possible death of children is amusing somehow. Evil is what they are. Pure and simple.,0,0,0,,,,,,
@WirdieBirdie,Incorrect. Stop spreading falsehoods.,0,9,1,,,,,,
@specialkitty2me,Exactly what Pinterest is doing. Time for @Twitter to do the same.,0,0,0,,,,,,
@lilySfur,Men cause Autism! That is a scientific fact!,0,3,1,,,,,,
@LgFski,So don’t do men.,0,1,0,,,,,,
@mchawk,That's the opposite of a fact That's a lie,0,2,0,,,,,,
@cattiekit,"Duly noted and blocked. But, don’t worry-St Petersburg will make more.",0,0,0,,,,,,
@BarmiesNiagara,"No, it’s not. No evidence for it whatsoever.",1,4,0,,,,,,
@BloodwingBX,Can you share the peer reviewed scientific paper that shows the causal link between the two?,0,1,1,,,,,,
@NonnaSJF,"Gregory, do you believe smoking causes cancer? Do you believe in climate change?",0,0,0,,,,,,
@RScoyk,Trump supporter?,0,1,1,,,,,,
@SpikeHatesPets,"At the very least, he's an idiot. I bet if you check his TL you'll find mention of 'directed energy weapons....'",0,1,0,,,,,,
@Ms_Deathwish,"Oh please show me the studies that back up this ""scientific fact"". And make sure they're not the ones that have been thoroughly debunked or are by discredited people with dubious practises etc *cough* Tomljenovic and Shaw *cough* I'll wait. Come on.",0,9,1,,,,,,
@ACCOX_artist,I didn't have the same vaccines as kids these days and I still have different wiring.,0,0,0,,,,,,
@cjgrocks,Sorry but it’s well proven that vaccines DO NOT cause autism. You can’t rely on web sites that promote conspiracies but you need scientific sites.,0,1,0,,,,,,
@monyc727,#Loser,0,1,0,,,,,,
@Jeannet314,Cite your references.,0,1,0,,,,,,
@TWreninator,I have zero tolerance for irresponsible lies & conspiracy crap like this,0,1,0,,,,,,
@ThomasCanfield2,Whoa scientific fact? Not one reputable study that I've seen has shown a link between vaccines and autism,0,1,0,,,,,,
@Icanbelieveher,Please tell us where we can find the actual scientific proof your statement is even remotely true. Actual scientific proof from multiple scientists.,0,1,0,,,,,,
@LaVaqueAudio,Show evidence of vaccines causing autism. Ridiculous.,0,2,0,,,,,,
@RevDrDickMove,It’s “effect”. Apparently you’re an expert on vaccines and DNA but the subtleties of the language escape you.,0,2,0,,,,,,
@KennethFurrow,Your “facts” are conspiracies and untrue. Seek counseling.,1,2,0,,,,,,
@NanaDuz,"Hope your kids a a stellar immune system. Measles is becoming an epidemic, it causes blindness, death.",0,2,0,,,,,,
@sl8r1Fett,It’s not a fact. No reputable study has shown a correlation between vaccination and autism rates. Any study that has has had a biased or small sample size or has not been repeated.,0,2,0,,,,,,
@ReformedActuary,"Not a fact, Skippy. #VaccinesCauseAdults",0,2,0,,,,,,
@borniapss112,Even if getting vaccines caused autism (they don’t) not getting vaccines causes death. We literally have actual history books that taught us this. 🤦🏻‍♂️,0,2,0,,,,,,
@jaflady,No you are completely wrong and endangering many lives with your foolish and irresponsible prattle.,0,2,0,,,,,,
@fjgm_,"That is a whopper of a lie, and you know it. VACCINES DO NOT CAUSE AUTISM!",0,2,0,,,,,,
@wickedwillis,you know what damages kids DEATH from diseases that kill them. For which vaccines have been created that protect them and others against,0,2,0,,,,,,
@arlen_lindsey,Fiction. The word you are looking for is fiction,0,2,0,,,,,,
@DAVIDGHOWIE1,Not true .,0,2,0,,,,,,
@feelikeastrnger,Easy block,0,2,0,,,,,,
@DaleMillerIMO,,18,550,2,https://twitter.com/DaleMillerIMO/status/1165495931615100928/photo/1,,,,,
@DeniseMMurray,,2,10,0,https://twitter.com/DeniseMMurray/status/1165732446119301120/photo/1,,,,,
@RollChickadee,,3,159,0,https://twitter.com/i/status/1165409813762859013,,,,,
@Ah_Science,,1,18,0,https://twitter.com/Ah_Science/status/1165825311554121728/photo/1,,,,,
@jonemacaroni,,0,0,0,https://twitter.com/jonemacaroni/status/1165883653685161984/photo/1,,,,,
@wesisavet,,0,0,0,https://twitter.com/i/status/1165935468220833792,,,,,
@mec21blue,,0,0,0,https://twitter.com/mec21blue/status/1165939285851287552/photo/1,,,,,
@MrRichieHolland,,0,17,0,https://twitter.com/i/status/1165766972614873089,,,,,
@Cognac4Paws,,1,19,0,https://twitter.com/Cognac4Paws/status/1165715728005324806/photo/1,,,,,
@TheTeeka,,0,11,2,https://t.co/kTX1N96Dz0?amp=1,,,,,
@AlfonzoCortez4,,2,1,2,https://twitter.com/AlfonzoCortez4/status/1165872514431639555/photo/1,,,,,
@jrheisler,,0,5,0,https://twitter.com/i/status/1165849180939513856,,,,,
@WaPaRow,,0,1,0,https://twitter.com/WaPaRow/status/1165753523562147840/photo/1,,,,,
@StyloKid6,,0,1,0,https://twitter.com/StyloKid6/status/1165959052763062279/photo/1,,,,,
@hilo_takenaka,,0,1,0,https://twitter.com/hilo_takenaka/status/1165961819380310017/photo/1,,,,,
@GrumpyLibGrunt,,0,3,0,https://twitter.com/GrumpyLibGrunt/status/1165736397589942273/photo/1,,,,,
@theathens619,,1,4,0,https://twitter.com/i/status/1165722873627127811,,,,,
@GrantmanC,,0,3,0,https://twitter.com/i/status/1165755254614315008,,,,,
@OfficeBob,,0,3,0,https://twitter.com/i/status/1165815155155820544,,,,,
