,,re,li,co,
@Landor32450325,I worked for Dick's when they made their AR-15 announcement. It cost them a lot of repeat customers. When will corporate Americal learn that pandering to the left only works at tofu bars?,0,0,0,
@CandyWi65515877,That's exactly what I wonder do they really think this is going to stop a person from doing harm criminals don't care what the law is it's a no-brainer! As you said sir people knew about this guy and never reported anything he did she will make a difference God bless,0,0,0,
@surfcd,A mass murderer might prefer to “shop” at Walmart. He now knows all the law-abiding customers will be unarmed.,0,0,0,
@JoeCeraso8,Boycott Walmart,0,0,0,
@Lisa_Matassa,Agreed! 💯,0,5,0,
@FireHousesofOh,They stopped getting our money two years ago.,0,6,0,
@Drp985,Sam would have fired him.,0,6,0,
@diangelo67,"Sam walton was such an avid sportsman that Winchester had a commemorative ""sam walton"" model shotgun......he is rolling in his grave with what these clowns have turned his name into",0,7,0,
@falafeldiaper1,"Welp...rarely went there, and now wont. They have a right to do as they please. No issue w it. Just wont give them my money",0,10,1,
@BattyMclain,"Yeah they’ve done the math, that’s what WalMart does. They know what percentage of customer base they’ll lose and it’s irrelevant. Open carry supporters are saying “now I won’t shop there!” right after WalMart said “fuck off we don’t want your business.” Its a smart look 😂",0,1,0,
@arobertsilvagm1,,0,3,0,https://twitter.com/arobertsilvagm1/status/1170614710632206336/photo/1
@jeffjamesnow,"I was in Walmart today. My HK in my waist band. Sorry, I’m carrying wherever I go. We can discuss it after the situation arises that causes others to actually know I have it on me.",0,5,1,
@Judedudemude,HK: Hand Kannon LOL,0,1,0,
@DianefromNj,Assuming local mom and pop stores weren't driven into bankruptcy by Walmart.,0,0,0,
@NebelBob,I actually am glad in this instance. Reason being that many customers will now go to gun shops and independent retailers for their ammo and will probably choose to go to smaller grocers and clothing stores. Theoretically it will help the small business community.,0,0,0,
@StevieLynne7,Andrew .. 🙏💕Bless you for you know their after you! Be strong and safe!!,0,0,0,
@HarleyHawkeye,Karma,0,0,0,
@dl200010,"I have not shopped there since they did all the ""assault weapons"" virtue signaling!",0,0,0,
@CeliaCh24609512,,0,0,0,https://twitter.com/CeliaCh24609512/status/1170400874843131904/photo/1
@Ghasticus,"I doubt they will be installing metal detectors on the entrances any time soon ... best policy is ""Don't Ask, Don't Tell.""",0,0,0,
@MaryAnnJaxBeach,"Walmart is currently being sued by a customer for not having armed security guards, to deter mass shootings. Yet they have been protected by customers with guns in the past. Sounds like they want concealed carry customers, but won't pay for armed security.",0,0,0,
@LoveJuggernaut,"@nytimes activist writes open letter to Walmart CEO to try ""shame"" him into banning guns from his stores. Succeeds in doing so even though the activist knows apparently very little about guns since he describes them as ""assault"" weapons.",0,0,0,
@Mimi9060,Yes,0,0,0,
@avr1avr,"I have started to visit more often a local store. You know what? Like me, there are more others who would spend their money elsewhere. Let's wait until the next financial report is ou there. How many billions is Walmart going to lose?",0,0,0,
@greatgranny801,Never bot into Walmart idea!I prefer small speciality stores!!!,0,0,0,
@Suzoo305,Liberal logic 🤪🤪🤪🤷🏼‍♀️🤷🏼‍♀️🤷🏼‍♀️,0,0,0,
@HillinjaxG,If the criminals identify themselves Walmart will open another register just for them.,0,0,0,
@Meredithstylin,Yup! I’ve broken the chains. Spent the last couple of days planning my strategy so I NEVER have to go in there again (as well as Walgreens and CVS). No more of my money will be spent on their silly antics. Small inconvenience to go to multiple stores but saves my sanity! I’m out!,0,0,0,
@snk606,Yep. Good for the little guy!,0,0,0,
@Lindanewacct,Exactly!!,0,0,0,
@uncle_eddie99,"I, for one, will comply with @Walmart 's request by no longer visiting their stores",0,0,0,
@jcrichar61,They do the polar opposite of what makes sense...if they had weapons the COULD stop the madness in the store!!!,0,0,0,
@soko1014,"We need a God loving, American loving company to open and put Walmart out of business.",0,0,0,
@GobsofTexas,"Open carried to wal Mart in ft worth today, no one noticed...... same as always",0,0,0,
@MulloyBob,Walmart as a whole will do just fine. Not many Mom and Pop stores around anymore. The booming economy took care of that.,0,0,0,
@m_tschirhart,I visited two small gun stores today. No interest in Walmart,0,0,0,
@Jen12393995,Yep stopped already..I'll open carry when I want and its legal,0,0,0,
@ejhickey1,Never been to Walmart and not going now,0,0,0,
@CarolsCandy,Gun free zones are nice but someone forgot to tell the criminal who could careless.,0,0,0,
@whiterook491,Foolishness.,0,0,0,
@taxpyr,The local Mom and Pop are happy to have me and my CCW They know me by name and they know I carry even though no one else does.,0,0,0,
@WendyLott10,"The greeter better be armed, then.",0,0,0,
@republiclvr,We never shopped there much at all before..but will definitely NOT EVER shop there again. We have too many other options plus...Amazon...so Walmart can cozy up to the radical liberal left (who wouldn't shop at Walmart if they were paid to~these ppl are Target shoppers).,0,0,0,
@carlos829,"Hell yeah , no price for pride !!! Anything better than @Walmart",0,0,0,
@NWIABTCLLC,I absolutely love following you,0,0,0,
@BrouwerClaire,,0,0,0,https://twitter.com/BrouwerClaire/status/1170573122245808128/photo/1
@Clark_7593,"If criminals have guns, that's one thing But if a customer isn't becoming the victim Walmart wants them to be that is when they have issue",0,0,0,
@Auctionfever1,There’s no gun debate! That was settled with the Declaration of Independence and the Bill of Rights!,0,0,0,
@urpresident,He should close down his pharmacies as prescription drugs are abused and people harbor them illegally! They are gateway drugs! They are sold on the street! Many people commit suicide with prescription drugs. he must shut down his pharmacies! They are way worse than any bullets,0,0,0,
@Tweeta1970,I stopped going when this happened...I'm done with Walmart!,0,0,0,
@WRCARROLL1,"Hand gun vs long gun? Not a good idea, but if Odessa Walmart had an armed greater, wonder if the outcome would have been the same?",0,0,0,
@2BeConservative,Me too! #2ADefender for life and daily firearm carrier....👍🇺🇸⚖️,0,0,0,
